Target_Cell_Type,Rank,Cell_Name,VT,Delay_Raw,Power_Raw,Delay_Norm,Power_Norm,Avg_Norm_Score,,,,,,,,,,,,,,,,,,
O2A1O1I,6,O2A1O1Ixp33_ASAP7_75t_SL,SLVT,183.518,5.5095,0.3762,1,0.6881,,,,,,,,,,,,,,,,,,
OA331,1,OA331x2_ASAP7_75t_L,LVT,71.39,48.2231,0.1815,0.5253,0.3534,,,,,,,,,,,,,,,,,,
OA331,2,OA331x1_ASAP7_75t_L,LVT,96.069,34.3078,0.6356,0.074,0.3548,,,,,,,,,,,,,,,,,,
OA331,3,OA331x1_ASAP7_75t_SL,SLVT,84.196,44.4981,0.4172,0.4045,0.4108,,,,,,,,,,,,,,,,,,
OA331,4,OA331x2_ASAP7_75t_R,RVT,87.433,45.0404,0.4767,0.422,0.4494,,,,,,,,,,,,,,,,,,
OA331,5,OA331x2_ASAP7_75t_SL,SLVT,61.528,62.8632,0,1,0.5,,,,,,,,,,,,,,,,,,
OA331,6,OA331x1_ASAP7_75t_R,RVT,115.868,32.0256,1,0,0.5,,,,,,,,,,,,,,,,,,
OA332,1,OA332x1_ASAP7_75t_L,LVT,98.868,93.8876,0.6329,0.076,0.3544,,,,,,,,,,,,,,,,,,
OA332,2,OA332x1_ASAP7_75t_SL,SLVT,86.611,111.5104,0.4117,0.3388,0.3753,,,,,,,,,,,,,,,,,,
OA332,3,OA332x2_ASAP7_75t_L,LVT,74.082,129.2072,0.1857,0.6027,0.3942,,,,,,,,,,,,,,,,,,
OA332,4,OA332x2_ASAP7_75t_R,RVT,90.623,121.8148,0.4841,0.4924,0.4883,,,,,,,,,,,,,,,,,,
OA332,5,OA332x2_ASAP7_75t_SL,SLVT,63.79,155.853,0,1,0.5,,,,,,,,,,,,,,,,,,
OA332,6,OA332x1_ASAP7_75t_R,RVT,119.215,88.7927,1,0,0.5,,,,,,,,,,,,,,,,,,
OA333,1,OA333x1_ASAP7_75t_L,LVT,91.889,187.9021,0.6419,0.0791,0.3605,,,,,,,,,,,,,,,,,,
OA333,2,OA333x1_ASAP7_75t_SL,SLVT,79.747,215.0047,0.4213,0.3084,0.3648,,,,,,,,,,,,,,,,,,
OA333,3,OA333x2_ASAP7_75t_L,LVT,65.933,252.3704,0.1703,0.6244,0.3974,,,,,,,,,,,,,,,,,,
OA333,4,OA333x2_ASAP7_75t_R,RVT,81.704,237.79,0.4569,0.5011,0.479,,,,,,,,,,,,,,,,,,
OA333,5,OA333x2_ASAP7_75t_SL,SLVT,56.558,296.7796,0,1,0.5,,,,,,,,,,,,,,,,,,
OA333,6,OA333x1_ASAP7_75t_R,RVT,111.596,178.5475,1,0,0.5,,,,,,,,,,,,,,,,,,
OAI21,1,OAI21x1_ASAP7_75t_L,LVT,81.504,2.1538,0.0604,0.1963,0.1284,,,,,,,,,,,,,,,,,,
OAI21,2,OAI21x1_ASAP7_75t_R,RVT,101.681,1.4832,0.1567,0.112,0.1343,,,,,,,,,,,,,,,,,,
OAI21,3,OAI21xp5_ASAP7_75t_L,LVT,150.879,1.1501,0.3914,0.07,0.2307,,,,,,,,,,,,,,,,,,
OAI21,4,OAI21xp5_ASAP7_75t_R,RVT,189.301,0.8192,0.5748,0.0284,0.3016,,,,,,,,,,,,,,,,,,
